elapsed_seconds,error,full_snapshot_sha256,http_status,max_pages_reached,page_count,pagination_complete,pit_date,provider,raw_sha256,repeat_match,repeat_sha256,requested_at,row_count,state
266.638851,,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,200,False,23,True,2026-02-28,massive,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,True,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,2026-08-08T05:01:25.834496+00:00,22859,inactive
145.592636,,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,200,False,13,True,2026-03-31,massive,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,,,2026-08-08T05:06:04.662779+00:00,12432,active
145.675361,,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,200,False,13,True,2026-03-31,massive,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,True,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,2026-08-08T05:08:42.438152+00:00,12432,active
266.758924,,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,200,False,23,True,2026-03-31,massive,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,,,2026-08-08T05:11:20.269689+00:00,22949,inactive
266.844822,,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,200,False,23,True,2026-03-31,massive,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,True,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,2026-08-08T05:15:59.246083+00:00,22949,inactive
145.593612,,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,200,False,13,True,2026-04-30,massive,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,,,2026-08-08T05:20:38.278062+00:00,12520,active
145.602809,,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,200,False,13,True,2026-04-30,massive,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,True,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,2026-08-08T05:23:16.071341+00:00,12520,active
278.663854,,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,200,False,24,True,2026-04-30,massive,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,,,2026-08-08T05:25:53.828907+00:00,23047,inactive
278.653475,,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,200,False,24,True,2026-04-30,massive,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,True,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,2026-08-08T05:30:44.708615+00:00,23047,inactive
145.737637,,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,200,False,13,True,2026-05-31,massive,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,,,2026-08-08T05:35:35.555019+00:00,12675,active
