rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,group
baseline,holdout,13,215,sufficient_sample,3.628576831450559,2.793594271770816,12.264209566981112,0.627906976744186,3.628576831450559,0.627906976744186,4.565082806063228,3.4215267278912274,0.6186046511627907,3.1117260741864756,0.6093023255813953,baseline_only
candidate,development,26,10398,sufficient_sample,6.935273338788269,6.541064028242072,13.572626230774729,0.7297557222542796,6.935273338788269,0.7297557222542796,6.056346804064169,6.721616449000492,0.7251394498942104,6.401930329617265,0.717157145604924,baseline_and_candidate
baseline,development,26,10398,sufficient_sample,6.935273338788269,6.541064028242072,13.572626230774729,0.7297557222542796,6.935273338788269,0.7297557222542796,6.056346804064169,6.721616449000492,0.7251394498942104,6.401930329617265,0.717157145604924,baseline_and_candidate
candidate,development,26,1619,sufficient_sample,9.966704589113915,10.119935017690818,13.824363565863646,0.7745521927115503,9.966704589113915,0.7745521927115503,9.101747455476707,9.746990893631184,0.7696108709079679,9.418242222085928,0.7665225447807289,candidate_only
baseline,development,26,201,sufficient_sample,6.393496389580346,8.070201224496776,17.020988244338408,0.6915422885572139,6.393496389580346,0.6915422885572139,4.329277959920454,6.180921971219559,0.6915422885572139,5.862855509831826,0.6915422885572139,baseline_only
candidate,validation,26,5391,sufficient_sample,6.707425443636049,6.070235758605147,16.613477634215638,0.6716750139120757,6.707425443636049,0.6716750139120757,5.50860273593883,6.494223794398026,0.667779632721202,6.175218832944609,0.657762938230384,baseline_and_candidate
baseline,validation,26,5391,sufficient_sample,6.707425443636049,6.070235758605147,16.613477634215638,0.6716750139120757,6.707425443636049,0.6716750139120757,5.50860273593883,6.494223794398026,0.667779632721202,6.175218832944609,0.657762938230384,baseline_and_candidate
candidate,validation,26,867,sufficient_sample,10.177475987133112,9.02402235098787,17.6932746672798,0.7693194925028836,10.177475987133112,0.7693194925028836,10.648963073402696,9.957341169976015,0.7635524798154556,9.627962391187324,0.754325259515571,candidate_only
baseline,validation,26,119,sufficient_sample,13.884841957314308,7.694938800738571,21.83431123001079,0.7226890756302521,13.884841957314308,0.7226890756302521,6.245151995920252,13.657299815541466,0.7142857142857143,13.316837758025969,0.6974789915966386,baseline_only
candidate,holdout,26,6366,sufficient_sample,7.1886132469776856,5.9518157507150065,17.803820755231186,0.6687087653157399,7.1886132469776856,0.6687087653157399,6.728724449300865,6.974450183547174,0.6617970468111845,6.65400669711746,0.6526861451460886,baseline_and_candidate
baseline,holdout,26,6366,sufficient_sample,7.1886132469776856,5.9518157507150065,17.803820755231186,0.6687087653157399,7.1886132469776856,0.6687087653157399,6.728724449300865,6.974450183547174,0.6617970468111845,6.65400669711746,0.6526861451460886,baseline_and_candidate
candidate,holdout,26,921,sufficient_sample,5.413207665126545,3.3442866608587973,20.747212803514824,0.5841476655808904,5.413207665126545,0.5841476655808904,6.91499725652421,5.202591865595835,0.5776330076004343,4.887456005948868,0.5700325732899023,candidate_only
baseline,holdout,26,213,sufficient_sample,7.676917442787543,5.197502288883227,20.947482334577803,0.647887323943662,7.676917442787543,0.647887323943662,8.519252087723885,7.461778746598169,0.6384976525821596,7.139875460529262,0.6291079812206573,baseline_only
