rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,ticker,cohort
candidate,holdout,13,13,insufficient_sample,0.16311154190721916,-3.5109140987479526,12.752356806138044,0.3076923076923077,0.16311154190721916,0.3076923076923077,4.68602778966667,-0.037014555079600574,0.3076923076923077,-0.336455099199545,0.3076923076923077,BA,stock
candidate,validation,13,12,insufficient_sample,-1.5087641870436481,1.857519574945532,23.946738221829975,0.6666666666666666,-1.5087641870436481,0.6666666666666666,1.8377033182419946,-1.7055498729836138,0.5833333333333334,-1.9999922958364393,0.5833333333333334,BA,stock
baseline,development,13,17,insufficient_sample,2.960058021335215,0.2546859241453481,14.945599734153605,0.5294117647058824,2.960058021335215,0.5294117647058824,1.9852188987023405,2.754343619694196,0.5294117647058824,2.446541522475696,0.4117647058823529,BAC,stock
baseline,holdout,13,15,insufficient_sample,1.3005873395175034,3.6903348962699978,15.413586273049882,0.5333333333333333,1.3005873395175034,0.5333333333333333,2.744735002312018,1.098188563614381,0.5333333333333333,0.7953475024126927,0.5333333333333333,BAC,stock
baseline,validation,13,10,insufficient_sample,0.8938953939580785,4.50048011753077,16.762616313689673,0.6,0.8938953939580785,0.6,2.7965336380404096,0.6923091893747617,0.6,0.39068394560917097,0.6,BAC,stock
candidate,development,13,18,insufficient_sample,1.7363275033605572,5.6272119649839025,13.840606190013778,0.6666666666666666,1.7363275033605572,0.6666666666666666,1.6755008022667448,1.533058117739471,0.6666666666666666,1.2289143986056503,0.6666666666666666,BAC,stock
candidate,holdout,13,15,insufficient_sample,2.0688275536176297,1.78608029742382,15.94524941148958,0.5333333333333333,2.0688275536176297,0.5333333333333333,2.6364078462694027,1.8648938322317934,0.5333333333333333,1.5597560944973565,0.5333333333333333,BAC,stock
candidate,validation,13,13,insufficient_sample,-0.0044623432101576445,3.738900442022608,15.509233830076477,0.5384615384615384,-0.0044623432101576445,0.5384615384615384,3.1301781975041525,-0.2042536272396913,0.5384615384615384,-0.5031932043412677,0.5384615384615384,BAC,stock
baseline,development,13,17,insufficient_sample,0.8623549102657675,1.8108535156835526,12.146132915925364,0.5294117647058824,0.8623549102657675,0.5294117647058824,3.216500740209785,0.6608317236318804,0.5294117647058824,0.35930077106245545,0.5294117647058824,CAT,stock
baseline,holdout,13,14,insufficient_sample,6.69068619252895,3.174879251592666,14.813058467509345,0.6428571428571429,6.69068619252895,0.6428571428571429,5.138898962437017,6.477517988348085,0.6428571428571429,6.158563069374202,0.6428571428571429,CAT,stock
baseline,validation,13,13,insufficient_sample,5.376291808499023,7.1350558828546795,13.319036986192708,0.6923076923076923,5.376291808499023,0.6923076923076923,2.801160216193388,5.165749766923611,0.6923076923076923,4.850724268307013,0.6923076923076923,CAT,stock
candidate,development,13,20,sufficient_sample,1.510531663649687,0.9893082428491851,13.938416610540683,0.55,1.510531663649687,0.55,2.5938818953087823,1.307713418567484,0.5,1.0042447226838658,0.5,CAT,stock
candidate,holdout,13,15,insufficient_sample,7.164416971689548,4.5869665006887494,14.270085009324557,0.6666666666666666,7.164416971689548,0.6666666666666666,4.58427103374483,6.950302252465406,0.6666666666666666,6.629931101506568,0.6666666666666666,CAT,stock
candidate,validation,13,13,insufficient_sample,5.519979242395386,7.545303853105567,13.53882518313848,0.7692307692307693,5.519979242395386,0.7692307692307693,2.5693741577964584,5.3091501130399585,0.7692307692307693,4.993695056647786,0.7692307692307693,CAT,stock
baseline,development,13,22,sufficient_sample,5.130407966998228,3.8003219631398744,7.17010413552091,0.7727272727272727,5.130407966998228,0.7727272727272727,3.8524424776462003,4.920357201829411,0.7272727272727273,4.606066780130419,0.6818181818181818,COST,stock
baseline,holdout,13,16,insufficient_sample,4.98133082625579,3.3573248373989673,10.303653329687263,0.625,4.98133082625579,0.625,3.7871407492949887,4.771577917512033,0.625,4.4577331662744735,0.625,COST,stock
baseline,validation,13,13,insufficient_sample,5.623883961919068,5.337530371270605,7.7615381662107525,0.7692307692307693,5.623883961919068,0.7692307692307693,3.248184618326301,5.412847230726436,0.7692307692307693,5.097081548143928,0.7692307692307693,COST,stock
candidate,development,13,23,sufficient_sample,5.17190152868884,4.358142735225523,6.558159542549415,0.8695652173913043,5.17190152868884,0.8695652173913043,2.88477729913189,4.961767859300864,0.8695652173913043,4.647353391388662,0.8260869565217391,COST,stock
candidate,holdout,13,16,insufficient_sample,5.918209399498401,4.074857203192661,9.557451863267076,0.625,5.918209399498401,0.625,4.555136791817576,5.706584605493424,0.625,5.389939028428595,0.625,COST,stock
candidate,validation,13,13,insufficient_sample,6.040055011225882,9.84528458250622,9.071541638390284,0.7692307692307693,6.040055011225882,0.7692307692307693,4.026216351158936,5.82818676944522,0.7692307692307693,5.511176931369401,0.7692307692307693,COST,stock
baseline,development,13,18,insufficient_sample,0.9171550535818381,0.32885067576871596,11.796051800129263,0.5,0.9171550535818381,0.5,2.9057526722804377,0.7155223761521153,0.5,0.41382759695550714,0.5,CSCO,stock
baseline,holdout,13,14,insufficient_sample,3.288849450023736,3.2806485120085993,10.093047456156082,0.7142857142857143,3.288849450023736,0.7142857142857143,3.2932440232934206,3.0824781224512767,0.7142857142857143,2.7736930936645305,0.7142857142857143,CSCO,stock
baseline,validation,13,10,insufficient_sample,5.575336804260805,2.9071705378549586,11.759492909174252,0.5,5.575336804260805,0.5,4.396522107925662,5.364397070386174,0.5,5.048776520947789,0.5,CSCO,stock
candidate,development,13,22,sufficient_sample,1.1613447169773208,3.4005734011399613,10.950441913452101,0.6363636363636364,1.1613447169773208,0.6363636363636364,2.73258362546367,0.9592241481122484,0.5909090909090909,0.6567993567929107,0.5909090909090909,CSCO,stock
candidate,holdout,13,15,insufficient_sample,4.553645958254767,3.920347382474021,10.190169927114473,0.8,4.553645958254767,0.8,3.285576021772658,4.344747564731796,0.8,4.032181389884432,0.8,CSCO,stock
candidate,validation,13,13,insufficient_sample,2.653345462365176,-2.030040589597626,14.059022852171813,0.46153846153846156,2.653345462365176,0.46153846153846156,2.3971537629278,2.4482438730297975,0.46153846153846156,2.141358701954385,0.46153846153846156,CSCO,stock
baseline,development,13,19,insufficient_sample,2.892117776663058,1.6874434201022082,8.898504495560553,0.631578947368421,2.892117776663058,0.631578947368421,2.679404952099226,2.686539119766639,0.5789473684210527,2.378940131891682,0.5789473684210527,CVX,stock
baseline,holdout,13,14,insufficient_sample,3.845260922619378,4.4742410857578125,11.485316097371825,0.6428571428571429,3.845260922619378,0.6428571428571429,3.036163352833264,3.6377778838129586,0.6428571428571429,3.327329446696094,0.6428571428571429,CVX,stock
baseline,validation,13,11,insufficient_sample,-2.4514982537830146,-1.6710710856245758,10.19177279564138,0.45454545454545453,-2.4514982537830146,0.45454545454545453,1.362536828104054,-2.646400355174048,0.45454545454545453,-2.9380244470309633,0.36363636363636365,CVX,stock
candidate,development,13,23,sufficient_sample,2.502872729043362,0.9337531006581301,10.94905625504831,0.6086956521739131,2.502872729043362,0.6086956521739131,2.9551566163895697,2.2980717845297973,0.6086956521739131,1.9916364560805626,0.5652173913043478,CVX,stock
candidate,holdout,13,17,insufficient_sample,4.314530108547007,2.113650315196991,10.920140297526217,0.5882352941176471,4.314530108547007,0.5882352941176471,3.668666789664915,4.106109468969503,0.5882352941176471,3.7942581379308176,0.5882352941176471,CVX,stock
candidate,validation,13,12,insufficient_sample,-3.0125190244320756,1.0767901897620502,15.134622233475724,0.5,-3.0125190244320756,0.5,1.4462588649026866,-3.2063002052024303,0.5,-3.496247109098237,0.5,CVX,stock
baseline,development,13,22,sufficient_sample,2.1280352968200553,3.0628490684604937,5.094631036099003,0.6818181818181818,2.1280352968200553,0.6818181818181818,2.5096408828496704,1.923983278245005,0.6818181818181818,1.618668537234931,0.6818181818181818,DIA,etf
baseline,holdout,13,16,insufficient_sample,2.3940161208249853,3.024631312341397,6.426114321546251,0.75,2.3940161208249853,0.75,2.5514111472275767,2.1894326720321398,0.75,1.8833227735889648,0.6875,DIA,etf
baseline,validation,13,13,insufficient_sample,1.5693733651752644,4.406527105332958,10.966949584345912,0.8461538461538461,1.5693733651752644,0.8461538461538461,1.9042083459086856,1.3664375542558393,0.8461538461538461,1.0627929493888624,0.8461538461538461,DIA,etf
candidate,development,13,24,sufficient_sample,2.950461254172538,4.487469147444035,5.797813154355955,0.625,2.950461254172538,0.625,3.0558473321259014,2.7447660268914884,0.625,2.4369926194884006,0.625,DIA,etf
