ticker,is_etf,candidate_trade_count,candidate_total_return,candidate_mean_expectancy,candidate_maximum_drawdown_pct,baseline_a_trade_count,baseline_a_mean_expectancy,baseline_b_trade_count,baseline_b_mean_expectancy,candidate_beat_a,candidate_beat_b
NFLX,False,4,5.549345753448305,1.3873364383620763,0.0,95,-0.5494983160547736,50,-0.14882275573813838,True,True
PLTR,False,3,-0.5970727279980605,-0.19902424266602017,-2.065812041179967,91,-0.6287867559146697,54,-0.03235027861861583,True,False
LLY,False,5,4.360371141802268,0.8720742283604537,-1.0521331303568509,95,-0.24312830733416027,61,-0.12037199403756803,True,True
UBER,False,3,1.7856037837201115,0.5952012612400371,-1.058314365706579,90,-0.37973765535440257,51,-0.16688073410706875,True,True
UNH,False,5,-0.5006620977009362,-0.10013241954018723,-2.157773250427462,88,-0.30871071472362555,61,-0.2511894249797174,True,True
BRK.B,False,2,0.25315611737030763,0.12657805868515382,-1.2060956187472698,91,-0.4365003016943415,54,-0.1789075135319505,True,True
IONQ,False,1,-1.0275405789609697,-1.0275405789609697,-1.0275405789609664,13,-0.12843304211102613,8,-0.6318162600578656,False,False
AVGO,False,5,-2.7624744062499156,-0.5524948812499831,-3.160092331529242,90,-0.4853025010313357,56,-0.31362618178818075,False,False
XLE,True,3,-3.2920639591422747,-1.097354653047425,-3.2920639591422685,99,-0.4601429720263903,49,-0.2839339566458793,False,False
SMH,True,2,0.3941050609455594,0.1970525304727797,-1.0824931525211525,99,-0.6306272979060024,55,-0.09418613124846009,True,True
XLI,True,4,-4.454527155262548,-1.113631788815637,-4.454527155262539,105,-0.447784099624164,58,-0.3895096204198612,False,False
AMZN,False,5,-2.9275331861482585,-0.5855066372296517,-3.280095853664948,88,-0.202866888604445,48,-0.20552430031937233,False,False
BAC,False,3,-3.2743721892916016,-1.0914573964305339,-3.274372189291597,92,-0.36428551913748597,52,-0.3968706000713284,False,False
NOW,False,4,0.36740292707289224,0.09185073176822306,-1.2339405094961529,92,-0.46938535779839635,44,-0.25221480098213334,True,True
RDDT,False,1,-1.0276411190764454,-1.0276411190764454,-1.0276411190764492,18,-0.23439084615787445,8,-0.4194998583169498,False,False
SPOT,False,1,-1.0460627803948501,-1.0460627803948501,-1.0460627803948483,64,-0.3831576010486424,34,-0.07762998961532035,False,False
TSLA,False,2,-2.0976621491613843,-1.0488310745806921,-2.097662149161394,92,-0.2865765060002458,52,-0.15652943376577963,False,False
HOOD,False,4,-2.787005477606469,-0.6967513694016173,-2.7870054776064705,64,-0.23709586073452402,37,-0.11127553954914177,False,False
INTC,False,2,0.42556909755534855,0.21278454877767428,-1.041782710691706,101,-0.2519804584072752,54,-0.19994367819937267,True,True
AMD,False,10,-2.063570554451406,-0.2063570554451406,-4.105267608073157,97,-0.3206796254238905,62,-0.2115776351528779,True,True
ADBE,False,3,-3.3826933128555,-1.1275644376185,-3.382693312855494,76,-0.3021799034470587,42,-0.3171911322697416,False,False
TEM,False,1,-1.0305449626543715,-1.0305449626543715,-1.0305449626543748,19,-0.1640406186654059,7,-0.6799382704082294,False,False
XLY,True,3,-3.1857584508898666,-1.0619194836299555,-3.185758450889864,98,-0.5520297459624579,53,-0.3455473800124092,False,False
CVX,False,1,-1.01474072617591,-1.01474072617591,-1.0147407261759156,74,-0.4937236109383574,44,-0.3271308213899584,False,False
