rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,ticker,cohort
baseline,holdout,13,15,5.416119048564017,5.526300869696654,9.228300580997187,0.6666666666666666,5.416119048564017,0.6666666666666666,3.6599594360640473,5.31075561123413,0.6666666666666666,5.2054974320833844,0.6666666666666666,4.890352868770689,0.6666666666666666,COST,stock
baseline,validation,13,12,6.40692748535011,6.317975383544394,7.253843430318035,0.8333333333333334,6.40692748535011,0.8333333333333334,3.2888858585310623,6.3005737347400705,0.8333333333333334,6.194326231633137,0.8333333333333334,5.87621961759276,0.8333333333333334,COST,stock
candidate,development,13,24,4.928661492857827,4.919530175382536,7.202117929756293,0.7083333333333334,4.928661492857827,0.7083333333333334,3.858440883261824,4.823785269476671,0.7083333333333334,4.71901381754743,0.7083333333333334,4.405326522818648,0.7083333333333334,COST,stock
candidate,holdout,13,16,4.563524808993262,4.881188538031312,8.763839633562164,0.75,4.563524808993262,0.75,2.6724057036122737,4.459013539818865,0.75,4.354606677506773,0.6875,4.042010969546916,0.625,COST,stock
candidate,validation,13,13,6.618779320729219,4.315921912978737,7.469792372987701,0.6923076923076923,6.618779320729219,0.6923076923076923,3.8571019078286435,6.512213824156788,0.6153846153846154,6.4057547866218805,0.6153846153846154,6.087014835339061,0.6153846153846154,COST,stock
baseline,development,13,23,6.361251477891,6.21251881151359,11.975493013349322,0.6521739130434783,6.361251477891,0.6521739130434783,3.297355141881433,6.254943380461835,0.6521739130434783,6.148741484928192,0.6521739130434783,5.830771420644669,0.6521739130434783,CRM,stock
baseline,holdout,13,11,4.335013361382177,10.567537549774952,17.80727282686113,0.7272727272727273,4.335013361382177,0.7272727272727273,3.5450034018058787,4.230730489456771,0.7272727272727273,4.1265517962245815,0.7272727272727273,3.8146392299039675,0.7272727272727273,CRM,stock
baseline,validation,13,13,7.465132267606995,6.739215343876337,14.543106059837628,0.6153846153846154,7.465132267606995,0.6153846153846154,2.9233644509773304,7.35772084105267,0.6153846153846154,7.2504167186207775,0.6153846153846154,6.929146570511707,0.6153846153846154,CRM,stock
candidate,development,13,24,4.275870721101065,7.15666060753618,13.144360690504037,0.6666666666666666,4.275870721101065,0.6666666666666666,3.2580876197209108,4.171646962259395,0.6666666666666666,4.067527323056917,0.6666666666666666,3.7557915653848606,0.6666666666666666,CRM,stock
candidate,holdout,13,15,1.7945446621889194,-2.5218880332394833,16.18333305566622,0.3333333333333333,1.7945446621889194,0.3333333333333333,4.00145686130885,1.692800989363158,0.3333333333333333,1.591158958568174,0.3333333333333333,1.2868411975396115,0.3333333333333333,CRM,stock
candidate,validation,13,13,9.085119463255827,10.389780241461155,10.286869385426153,0.7692307692307693,9.085119463255827,0.7692307692307693,3.262547303892053,8.976088859094663,0.7692307692307693,8.867167176615972,0.7692307692307693,8.541054029523893,0.7692307692307693,CRM,stock
baseline,development,13,18,1.1332508206115444,0.32886139738825815,11.600908383349239,0.5,1.1332508206115444,0.5,3.1818233352290965,1.0321681111456784,0.5,0.9311863834075333,0.5,0.6288455796109981,0.5,CSCO,stock
baseline,holdout,13,13,3.5099449580298727,3.9203717887430933,8.149384172945519,0.6923076923076923,3.5099449580298727,0.6923076923076923,3.8701505821399924,3.4064867421797844,0.6923076923076923,3.303131881190665,0.6923076923076923,2.993685880932478,0.6923076923076923,CSCO,stock
baseline,validation,13,10,6.0736166042421775,4.161503896335278,11.976302024475208,0.5,6.0736166042421775,0.5,4.451767879474718,5.967595997941095,0.5,5.8616813063316116,0.5,5.544571134894342,0.5,CSCO,stock
candidate,development,13,22,1.5359807107718488,3.4005577267971265,10.649054496392694,0.6363636363636364,1.5359807107718488,0.6363636363636364,3.8551579570117194,1.4344954726801336,0.6363636363636364,1.333111618442647,0.5909090909090909,1.0295668418902044,0.5909090909090909,CSCO,stock
candidate,holdout,13,14,4.849297673042089,4.184060452432492,8.389289631259933,0.7857142857142857,4.849297673042089,0.7857142857142857,3.82072618437175,4.744500773818672,0.7857142857142857,4.639808566802258,0.7857142857142857,4.326358532528174,0.7857142857142857,CSCO,stock
candidate,validation,13,12,0.8018168931487137,0.7262546878617882,14.979527337625445,0.5,0.8018168931487137,0.5,1.465213224185369,0.7010654519761627,0.5,0.6004146615939862,0.5,0.29906468919287477,0.5,CSCO,stock
baseline,development,13,19,3.265122504161443,1.0783342251196482,7.717568186156811,0.631578947368421,3.265122504161443,0.631578947368421,3.5938796100248185,3.1619089884151683,0.5789473684210527,3.0587985830742213,0.5789473684210527,2.7500844866843375,0.5263157894736842,CVX,stock
baseline,holdout,13,14,2.010669406246573,-0.7360855916512588,12.18111909829079,0.42857142857142855,2.010669406246573,0.42857142857142855,3.1563605054980672,1.908709716685116,0.42857142857142855,1.8068518849553823,0.42857142857142855,1.5018880126992158,0.42857142857142855,CVX,stock
baseline,validation,13,10,-0.7049494292221083,-1.527415187628739,6.298639037329989,0.4,-0.7049494292221083,0.4,2.8128571719902555,-0.8041948570789504,0.4,-0.9033411386542258,0.4,-1.2001865891760968,0.4,CVX,stock
candidate,development,13,23,3.3825335274130164,2.6354098923883296,9.27353385728725,0.6521739130434783,3.3825335274130164,0.6521739130434783,3.9529347712094105,3.279202659319662,0.6521739130434783,3.175975018866746,0.6521739130434783,2.866909918797498,0.6086956521739131,CVX,stock
