rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,cohort
candidate,holdout,13,2395,sufficient_sample,2.85044776237412,2.729912889866859,8.304892110384456,0.644258872651357,2.85044776237412,0.644258872651357,3.745353264575498,2.6449523622495077,0.6350730688935282,2.3374779480979506,0.6183716075156577,etf
baseline,holdout,13,2168,sufficient_sample,2.9577183225084327,2.76698134903548,7.982567620172156,0.6499077490774908,2.9577183225084327,0.6499077490774908,3.86924325515362,2.7520085955903455,0.6402214022140221,2.444213492969748,0.6231549815498155,etf
candidate,development,26,8387,sufficient_sample,7.80555874090961,7.1466869252179155,15.17886739412747,0.7120543698581138,7.80555874090961,0.7120543698581138,6.484906834434753,7.5901630191495615,0.707165851913676,7.267875156166928,0.7001311553594849,stock
baseline,development,26,7345,sufficient_sample,7.41218997907795,6.662521385118714,15.317397193320764,0.7036078965282505,7.41218997907795,0.7036078965282505,6.099733043523235,7.197580208889994,0.6988427501701838,6.876468333297023,0.691218515997277,stock
candidate,development,26,3619,sufficient_sample,6.294615474441514,6.837067279115638,9.052239841534494,0.7899972368057474,6.294615474441514,0.7899972368057474,6.356067408535952,6.082238620346737,0.7852998065764023,5.764467766339573,0.7770102238187344,etf
baseline,development,26,3252,sufficient_sample,5.834400795255679,6.482564646398625,8.66542743851217,0.7850553505535055,5.834400795255679,0.7850553505535055,5.791044743534836,5.622943451009425,0.7804428044280443,5.306548422212021,0.7718327183271833,etf
candidate,validation,26,4404,sufficient_sample,8.191072884868754,6.827518493741724,18.481246102865374,0.6768846503178928,8.191072884868754,0.6768846503178928,6.4106160941367785,7.974906905078818,0.6727974568574023,7.651466536315803,0.6639418710263397,stock
baseline,validation,26,3862,sufficient_sample,7.917153616558294,6.165716020352785,18.601726108097292,0.6636457793889177,7.917153616558294,0.6636457793889177,5.670312961951731,7.701534928013735,0.659243915069912,7.378913448894672,0.6499223200414294,stock
candidate,validation,26,1855,sufficient_sample,4.746081872385658,6.117832657997835,11.49617207470954,0.7035040431266847,4.746081872385658,0.7035040431266847,5.734704897278783,4.5367989915217635,0.6997304582210243,4.2236575238949685,0.6857142857142857,etf
baseline,validation,26,1652,sufficient_sample,4.342076563805464,5.881636451433958,10.899057684095483,0.6930992736077481,4.342076563805464,0.6930992736077481,5.162000930723584,4.133600886355316,0.6900726392251816,3.8216672043849993,0.6767554479418886,etf
candidate,holdout,26,5042,sufficient_sample,7.8649453517721595,6.007335451863815,20.447922631087096,0.6435938119793733,7.8649453517721595,0.6435938119793733,6.826492230496674,7.649430975444954,0.6374454581515272,7.326965574456599,0.6309004363347878,stock
baseline,holdout,26,4549,sufficient_sample,8.083717331064406,6.1800723027857885,20.147335854440612,0.6509122884150362,8.083717331064406,0.6509122884150362,6.809925258280117,7.867765847885467,0.6447570894702133,7.544646421682551,0.6377225763904155,stock
candidate,holdout,26,2245,sufficient_sample,4.957620076348862,4.933151573227623,11.46273110892815,0.6908685968819599,4.957620076348862,0.6908685968819599,6.593968052180375,4.747914541730792,0.6824053452115812,4.43414067447182,0.6681514476614699,etf
baseline,holdout,26,2031,sufficient_sample,5.241086236385208,5.468033371207781,11.175680070966392,0.706548498276711,5.241086236385208,0.706548498276711,6.734923125435778,5.030814335813022,0.6976858690300345,4.71619303819876,0.6838995568685377,etf
