split,event_type,metric_level,identifier,observations,signals,mean_signal_net_return_pct,mean_baseline_net_return_pct,lift_bps,lift_ci_lower,lift_ci_upper,mean_return_ci_lower,mean_return_ci_upper,win_rate,executable_trades,executable_mean_net_return_pct,executable_win_rate
holdout,decline,ticker,JNJ,605,62,-0.739490,-0.302895,-43.659500,,,,,0.338710,21,-0.453186,0.285714
holdout,decline,ticker,JPM,605,51,-1.408853,-1.031908,-37.694500,,,,,0.254902,17,-0.838324,0.352941
holdout,decline,ticker,LLY,605,61,-0.438121,-0.348077,-9.004400,,,,,0.442623,25,-1.206536,0.400000
holdout,decline,ticker,META,605,61,0.189802,-1.609475,179.927700,,,,,0.491803,22,-1.060282,0.409091
holdout,decline,ticker,MRK,605,61,-1.778621,-0.954630,-82.399100,,,,,0.327869,26,-1.529658,0.346154
holdout,decline,ticker,MS,605,36,-1.636736,-0.464108,-117.262800,,,,,0.333333,14,-1.556557,0.285714
holdout,decline,ticker,MSFT,605,69,0.041842,-1.172125,121.396700,,,,,0.507246,21,0.056662,0.523810
holdout,decline,ticker,MSTR,605,48,0.070285,0.353012,-28.272700,,,,,0.520833,18,-0.421206,0.500000
holdout,decline,ticker,MU,605,41,-4.082351,-1.829380,-225.297100,,,,,0.317073,21,-2.620819,0.285714
holdout,decline,ticker,NET,605,40,-1.443312,-2.147375,70.406300,,,,,0.325000,20,-2.440600,0.350000
holdout,decline,ticker,NVDA,605,53,-1.829983,-1.745413,-8.457000,,,,,0.415094,21,-0.134843,0.428571
holdout,decline,ticker,ORCL,605,63,0.044127,-0.577251,62.137800,,,,,0.507937,21,-1.873757,0.571429
holdout,decline,ticker,PFE,605,61,0.125736,0.663972,-53.823600,,,,,0.524590,20,0.189420,0.550000
holdout,decline,ticker,PLTR,605,42,-3.673071,-3.933955,26.088400,,,,,0.380952,16,-0.484344,0.562500
holdout,decline,ticker,QQQ,605,61,-0.536357,-0.620225,8.386800,,,,,0.409836,24,-0.411892,0.333333
holdout,decline,ticker,SCHW,605,52,-2.407190,-0.456737,-195.045300,,,,,0.250000,18,-2.530828,0.277778
holdout,decline,ticker,SMCI,605,46,-1.858970,-0.569863,-128.910700,,,,,0.521739,16,-1.861900,0.562500
holdout,decline,ticker,SNOW,605,60,0.634098,-1.339730,197.382800,,,,,0.583333,21,0.980710,0.571429
holdout,decline,ticker,SOXL,605,69,-1.634629,-3.300739,166.611000,,,,,0.449275,25,-1.698172,0.440000
holdout,decline,ticker,SPY,605,54,-0.564013,-0.348957,-21.505600,,,,,0.425926,21,-1.109748,0.333333
holdout,decline,ticker,TMO,605,54,-0.510956,0.040311,-55.126700,,,,,0.388889,17,0.226482,0.588235
holdout,decline,ticker,TQQQ,605,74,0.222151,-0.615280,83.743100,,,,,0.513514,27,-0.099704,0.444444
holdout,decline,ticker,TSLA,605,46,0.207820,-1.979115,218.693500,,,,,0.586957,19,1.691979,0.684211
holdout,decline,ticker,UNH,605,57,0.479454,-0.810868,129.032200,,,,,0.456140,18,2.027683,0.555556
holdout,decline,ticker,WFC,605,68,-1.364571,-0.411825,-95.274600,,,,,0.338235,25,-1.475172,0.320000
holdout,decline,ticker,XOM,605,63,-0.995202,-0.140971,-85.423100,,,,,0.285714,21,-1.234590,0.238095
holdout,runup,ticker,AAPL,605,10,1.617510,0.081740,153.577000,,,,,0.600000,8,1.540425,0.500000
holdout,runup,ticker,ABBV,605,4,-2.181925,-0.713525,-146.840000,,,,,0.500000,4,-2.181925,0.500000
holdout,runup,ticker,AMD,605,7,1.485429,-2.792114,427.754300,,,,,0.714286,6,1.146750,0.666667
holdout,runup,ticker,AMZN,605,7,2.017143,2.515443,-49.830000,,,,,0.571429,7,2.017143,0.571429
holdout,runup,ticker,ARKK,605,2,5.535150,3.345600,218.955000,,,,,0.500000,2,5.535150,0.500000
holdout,runup,ticker,ARM,605,4,-2.876400,-6.673475,379.707500,,,,,0.250000,4,-2.876400,0.250000
holdout,runup,ticker,AVGO,605,12,-2.878625,1.169358,-404.798300,,,,,0.333333,7,-2.500871,0.428571
holdout,runup,ticker,BAC,605,3,-4.056667,-1.187467,-286.920000,,,,,0.000000,2,-3.969400,0.000000
holdout,runup,ticker,BLK,605,3,1.145467,-4.816767,596.223400,,,,,0.666667,3,1.145467,0.666667
holdout,runup,ticker,C,605,4,2.497700,-0.677575,317.527500,,,,,0.500000,4,2.497700,0.500000
holdout,runup,ticker,CAT,605,5,1.185820,1.339920,-15.410000,,,,,0.600000,5,1.185820,0.600000
holdout,runup,ticker,COP,605,3,-4.869867,0.525067,-539.493400,,,,,0.000000,3,-4.869867,0.000000
holdout,runup,ticker,CRWD,605,6,-1.051467,1.019017,-207.048400,,,,,0.500000,5,-2.097880,0.400000
holdout,runup,ticker,CVX,605,6,-0.889333,0.401667,-129.100000,,,,,0.666667,5,-1.069420,0.600000
holdout,runup,ticker,DDOG,605,8,-3.004812,0.590375,-359.518700,,,,,0.250000,6,-3.022200,0.333333
holdout,runup,ticker,DE,605,4,-1.431500,-1.801625,37.012500,,,,,0.250000,3,-1.410033,0.333333
holdout,runup,ticker,GOOGL,605,5,-0.695320,1.705740,-240.106000,,,,,0.600000,5,-0.695320,0.600000
holdout,runup,ticker,GS,605,3,-1.208867,2.486500,-369.536700,,,,,0.333333,3,-1.208867,0.333333
holdout,runup,ticker,JNJ,605,4,3.278400,0.553875,272.452500,,,,,1.000000,4,3.278400,1.000000
holdout,runup,ticker,JPM,605,6,0.874667,-0.561050,143.571700,,,,,0.500000,5,1.094400,0.600000
holdout,runup,ticker,LLY,605,6,-2.111683,1.293667,-340.535000,,,,,0.166667,5,-2.469220,0.200000
holdout,runup,ticker,META,605,6,3.681083,0.019267,366.181600,,,,,0.666667,5,3.564180,0.600000
holdout,runup,ticker,MRK,605,6,-1.342700,-1.947367,60.466700,,,,,0.166667,6,-1.342700,0.166667
holdout,runup,ticker,MS,605,1,3.591400,-1.976100,556.750000,,,,,1.000000,1,3.591400,1.000000
holdout,runup,ticker,MSFT,605,8,-4.455225,-1.860250,-259.497500,,,,,0.125000,6,-4.013350,0.166667
holdout,runup,ticker,MSTR,605,7,11.000929,3.860114,714.081500,,,,,0.571429,6,15.149033,0.666667
holdout,runup,ticker,MU,605,13,2.304646,-0.392208,269.685400,,,,,0.692308,9,0.588211,0.666667
holdout,runup,ticker,NET,605,5,-5.877520,-7.389180,151.166000,,,,,0.200000,5,-5.877520,0.200000
holdout,runup,ticker,NVDA,605,6,-2.273200,-3.489033,121.583300,,,,,0.333333,6,-2.273200,0.333333
holdout,runup,ticker,ORCL,605,4,-0.644025,-2.745725,210.170000,,,,,0.250000,4,-0.644025,0.250000
holdout,runup,ticker,PFE,605,3,-0.639233,0.084900,-72.413300,,,,,0.333333,3,-0.639233,0.333333
holdout,runup,ticker,PLTR,605,5,3.961400,2.499920,146.148000,,,,,0.800000,4,2.228600,0.750000
holdout,runup,ticker,QQQ,605,5,-0.386680,1.558960,-194.564000,,,,,0.400000,5,-0.386680,0.400000
holdout,runup,ticker,SCHW,605,4,-1.057975,0.372175,-143.015000,,,,,0.500000,4,-1.057975,0.500000
holdout,runup,ticker,SMCI,605,3,3.028667,16.224300,-1319.563300,,,,,0.666667,3,3.028667,0.666667
holdout,runup,ticker,SNOW,605,5,-8.461940,-0.723480,-773.846000,,,,,0.200000,4,-6.899350,0.250000
holdout,runup,ticker,SOXL,605,7,5.293557,9.300314,-400.675700,,,,,0.714286,7,5.293557,0.714286
holdout,runup,ticker,SPY,605,3,3.348700,-0.711133,405.983300,,,,,1.000000,2,3.772650,1.000000
holdout,runup,ticker,TMO,605,9,-0.046878,-0.514244,46.736600,,,,,0.555556,8,-0.451087,0.500000
holdout,runup,ticker,TQQQ,605,5,0.823780,5.891980,-506.820000,,,,,0.600000,4,-1.280275,0.500000
holdout,runup,ticker,TSLA,605,3,2.637567,-2.477567,511.513400,,,,,1.000000,3,2.637567,1.000000
holdout,runup,ticker,UNH,605,4,2.750325,-5.891375,864.170000,,,,,0.500000,4,2.750325,0.500000
holdout,runup,ticker,WFC,605,4,3.009800,-0.225575,323.537500,,,,,0.750000,4,3.009800,0.750000
holdout,runup,ticker,XOM,605,6,1.697750,-2.884533,458.228300,,,,,0.500000,4,1.098675,0.500000
validation,decline,ticker,AAPL,459,42,-0.955505,0.164290,-111.979500,,,,,0.523810,13,-0.799200,0.461538
validation,decline,ticker,ABBV,459,34,-1.127118,-0.257156,-86.996200,,,,,0.441176,18,-0.539867,0.500000
validation,decline,ticker,AMD,459,28,-0.856932,-1.570486,71.355400,,,,,0.428571,13,-2.128323,0.307692
validation,decline,ticker,AMZN,459,35,-0.996723,0.240874,-123.759700,,,,,0.314286,12,-0.651475,0.416667
validation,decline,ticker,ARKK,459,49,-3.368547,-0.709186,-265.936100,,,,,0.408163,18,-1.454478,0.500000
validation,decline,ticker,ARM,33,0,,,,,,,,,0,,
validation,decline,ticker,AVGO,459,33,-2.047885,-1.552476,-49.540900,,,,,0.242424,12,-2.140175,0.333333
validation,decline,ticker,BAC,458,59,0.236844,0.029878,20.696600,,,,,0.542373,16,0.487475,0.562500
validation,decline,ticker,BLK,459,40,-0.595873,-1.287848,69.197500,,,,,0.425000,16,-0.596400,0.437500
validation,decline,ticker,C,459,58,0.050591,-0.296233,34.682400,,,,,0.551724,20,0.630430,0.650000
validation,decline,ticker,CAT,458,37,0.282908,-3.169997,345.290500,,,,,0.540541,10,-1.302170,0.400000
validation,decline,ticker,COP,458,42,-1.513533,-1.257798,-25.573500,,,,,0.428571,15,-2.111880,0.400000
validation,decline,ticker,CRWD,459,30,-3.373983,1.655003,-502.898600,,,,,0.333333,11,-2.276900,0.181818
validation,decline,ticker,CVX,458,39,-1.534856,-0.031228,-150.362800,,,,,0.410256,15,-0.642220,0.466667
validation,decline,ticker,DDOG,459,53,-3.265419,0.025249,-329.066800,,,,,0.452830,16,-2.559513,0.437500
validation,decline,ticker,DE,458,48,-0.423031,-0.668725,24.569400,,,,,0.458333,16,-0.442031,0.500000
validation,decline,ticker,GOOGL,459,37,-1.194632,1.054522,-224.915400,,,,,0.405405,15,0.042987,0.466667
validation,decline,ticker,GS,459,44,-1.676991,-0.879780,-79.721100,,,,,0.204545,17,-1.648447,0.235294
validation,decline,ticker,JNJ,458,45,-0.970667,-0.004940,-96.572700,,,,,0.377778,16,-0.861781,0.375000
validation,decline,ticker,JPM,458,43,-0.205391,-0.651744,44.635300,,,,,0.465116,18,0.538867,0.611111
validation,decline,ticker,LLY,459,38,-2.771979,-0.274542,-249.743700,,,,,0.315789,15,-2.380400,0.400000
validation,decline,ticker,META,459,38,-4.141971,0.471084,-461.305500,,,,,0.289474,14,-1.767736,0.428571
validation,decline,ticker,MRK,459,45,-1.489391,-0.602936,-88.645500,,,,,0.266667,15,-0.430113,0.333333
validation,decline,ticker,MS,458,44,-0.673677,0.336768,-101.044500,,,,,0.477273,17,-0.671759,0.588235
validation,decline,ticker,MSFT,459,24,-1.118842,-0.009771,-110.907100,,,,,0.416667,10,-1.628260,0.400000
validation,decline,ticker,MSTR,459,48,-1.503010,-2.237213,73.420300,,,,,0.395833,15,-2.449227,0.400000
validation,decline,ticker,MU,459,33,-1.182579,0.173642,-135.622100,,,,,0.393939,13,-0.387554,0.461538
validation,decline,ticker,NET,459,42,-3.629048,0.157350,-378.639800,,,,,0.380952,15,-4.184287,0.266667
validation,decline,ticker,NVDA,459,36,0.169714,0.367811,-19.809700,,,,,0.500000,11,-0.518782,0.363636
validation,decline,ticker,ORCL,459,30,-1.250493,0.280713,-153.120600,,,,,0.300000,13,-0.138631,0.384615
validation,decline,ticker,PFE,459,60,0.046433,0.395943,-34.951000,,,,,0.600000,22,0.748441,0.590909
validation,decline,ticker,PLTR,458,36,-2.898708,-3.109828,21.112000,,,,,0.388889,14,-1.939886,0.500000
validation,decline,ticker,QQQ,459,40,-1.905330,-0.936440,-96.889000,,,,,0.250000,16,-1.806394,0.250000
validation,decline,ticker,SCHW,459,56,-0.414607,-0.389436,-2.517100,,,,,0.446429,20,1.416900,0.650000
validation,decline,ticker,SMCI,459,19,-3.615411,-1.680021,-193.539000,,,,,0.578947,9,-5.335078,0.555556
validation,decline,ticker,SNOW,459,41,-3.936795,-1.668839,-226.795600,,,,,0.414634,18,-2.938544,0.444444
validation,decline,ticker,SOXL,458,58,-2.356671,-0.598010,-175.866100,,,,,0.448276,17,-1.703276,0.529412
validation,decline,ticker,SPY,459,41,-1.269637,-0.209476,-106.016100,,,,,0.219512,12,-0.352883,0.416667
validation,decline,ticker,TMO,459,53,-1.377802,0.075702,-145.350400,,,,,0.358491,17,-1.999347,0.294118
validation,decline,ticker,TQQQ,459,44,-3.112050,1.100370,-421.242000,,,,,0.363636,16,-0.522394,0.437500
validation,decline,ticker,TSLA,459,54,4.018444,0.378381,364.006300,,,,,0.629630,16,2.795394,0.562500
validation,decline,ticker,UNH,459,54,-1.362889,-0.685867,-67.702200,,,,,0.462963,20,-1.238695,0.350000
validation,decline,ticker,WFC,457,46,-0.142472,0.418417,-56.088900,,,,,0.500000,15,1.285533,0.600000
validation,decline,ticker,XOM,458,40,-2.755415,0.925010,-368.042500,,,,,0.200000,14,-2.379436,0.285714
validation,runup,ticker,AAPL,459,3,-0.289567,-2.029600,174.003300,,,,,0.666667,3,-0.289567,0.666667
validation,runup,ticker,ABBV,459,5,-0.410640,-1.462360,105.172000,,,,,0.400000,4,-0.708325,0.250000
validation,runup,ticker,AMD,459,7,3.415414,6.036500,-262.108600,,,,,0.714286,6,3.799900,0.666667
validation,runup,ticker,AMZN,459,5,-6.016200,-3.602560,-241.364000,,,,,0.000000,4,-5.452700,0.000000
validation,runup,ticker,ARKK,459,1,5.219600,-5.009400,1022.900000,,,,,1.000000,1,5.219600,1.000000
validation,runup,ticker,ARM,33,0,,,,,,,,,0,,
validation,runup,ticker,AVGO,459,3,5.653300,-0.303633,595.693300,,,,,1.000000,3,5.653300,1.000000
validation,runup,ticker,BAC,458,2,6.432100,1.407150,502.495000,,,,,1.000000,1,2.384000,1.000000
validation,runup,ticker,BLK,459,4,0.380275,-0.730425,111.070000,,,,,0.500000,3,-0.850533,0.333333
validation,runup,ticker,C,459,6,0.160300,1.088133,-92.783300,,,,,0.333333,5,0.277320,0.400000
validation,runup,ticker,CAT,458,6,1.573167,0.754783,81.838400,,,,,0.500000,5,1.069800,0.400000
validation,runup,ticker,COP,458,0,,,,,,,,,0,,
validation,runup,ticker,CRWD,459,11,-0.821245,2.694591,-351.583600,,,,,0.454545,9,0.035800,0.555556
validation,runup,ticker,CVX,458,5,-3.078880,3.967720,-704.660000,,,,,0.200000,5,-3.078880,0.200000
validation,runup,ticker,DDOG,459,3,-4.322433,-11.210067,688.763400,,,,,0.333333,3,-4.322433,0.333333
validation,runup,ticker,DE,458,4,2.114325,2.463625,-34.930000,,,,,0.750000,4,2.114325,0.750000
validation,runup,ticker,GOOGL,459,3,-6.795000,-4.887600,-190.740000,,,,,0.000000,3,-6.795000,0.000000
validation,runup,ticker,GS,459,2,-0.307850,-5.856500,554.865000,,,,,0.000000,2,-0.307850,0.000000
validation,runup,ticker,JNJ,458,5,1.147860,-1.241520,238.938000,,,,,0.800000,5,1.147860,0.800000
validation,runup,ticker,JPM,458,4,0.793800,0.639975,15.382500,,,,,0.500000,3,0.190833,0.333333
validation,runup,ticker,LLY,459,2,0.359100,-5.253900,561.300000,,,,,0.500000,2,0.359100,0.500000
validation,runup,ticker,META,459,3,-2.091333,0.105600,-219.693300,,,,,0.333333,2,-1.229800,0.500000
validation,runup,ticker,MRK,459,3,-0.012233,0.856133,-86.836600,,,,,0.333333,3,-0.012233,0.333333
validation,runup,ticker,MS,458,4,-2.012625,-0.236025,-177.660000,,,,,0.250000,3,-0.370767,0.333333
validation,runup,ticker,MSFT,459,7,-2.556914,-0.890486,-166.642800,,,,,0.142857,6,-2.229217,0.166667
validation,runup,ticker,MSTR,459,1,7.918000,-6.059900,1397.790000,,,,,1.000000,1,7.918000,1.000000
validation,runup,ticker,MU,459,2,-7.179050,-0.802750,-637.630000,,,,,0.000000,2,-7.179050,0.000000
validation,runup,ticker,NET,459,4,5.784825,2.012775,377.205000,,,,,0.750000,4,5.784825,0.750000
validation,runup,ticker,NVDA,459,2,1.749100,2.984450,-123.535000,,,,,0.500000,2,1.749100,0.500000
validation,runup,ticker,ORCL,459,5,0.653660,0.339640,31.402000,,,,,0.600000,5,0.653660,0.600000
validation,runup,ticker,PFE,459,5,-0.953500,-0.884860,-6.864000,,,,,0.200000,4,-1.292050,0.000000
validation,runup,ticker,PLTR,458,4,0.166025,3.039325,-287.330000,,,,,0.500000,4,0.166025,0.500000
validation,runup,ticker,QQQ,459,2,-3.714150,0.248750,-396.290000,,,,,0.000000,2,-3.714150,0.000000
validation,runup,ticker,SCHW,459,5,-0.823240,0.549340,-137.258000,,,,,0.400000,4,-1.716225,0.250000
validation,runup,ticker,SMCI,459,4,4.727875,2.132475,259.540000,,,,,0.750000,3,2.876400,0.666667
validation,runup,ticker,SNOW,459,5,-1.733720,0.440860,-217.458000,,,,,0.600000,4,-0.635200,0.750000
validation,runup,ticker,SOXL,458,7,2.792171,-4.306343,709.851400,,,,,0.571429,6,1.131467,0.500000
validation,runup,ticker,SPY,459,6,-2.643267,0.345700,-298.896700,,,,,0.000000,5,-2.341100,0.000000
validation,runup,ticker,TMO,459,3,1.684167,-0.973033,265.720000,,,,,0.666667,3,1.684167,0.666667
validation,runup,ticker,TQQQ,459,3,-5.690933,-8.986767,329.583400,,,,,0.333333,3,-5.690933,0.333333
validation,runup,ticker,TSLA,459,3,3.474533,-1.095833,457.036600,,,,,0.333333,3,3.474533,0.333333
validation,runup,ticker,UNH,459,4,0.755450,0.217950,53.750000,,,,,0.750000,3,1.345767,1.000000
validation,runup,ticker,WFC,457,2,3.620000,0.953450,266.655000,,,,,1.000000,2,3.620000,1.000000
validation,runup,ticker,XOM,458,5,-1.576840,1.550340,-312.718000,,,,,0.400000,5,-1.576840,0.400000
