probe_id,symbol,method,repetition,requested_eastern_start,requested_eastern_end,requested_utc_start,requested_utc_end,http_status,safe_error_classification,raw_candle_count,normalized_candle_count,raw_earliest_timestamp,raw_latest_timestamp,requested_range_earliest,requested_range_latest,out_of_range_candles,unique_regular_sessions,expected_eligible_sessions,expected_regular_session_bars,returned_regular_session_bars,primary_session_bars,early_close_session_bars,extended_hours_bars,regular_session_coverage_pct,missing_regular_session_bars,duplicate_timestamps,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_rate_pct,invalid_ohlc_rows,non_five_minute_intervals,candle_payload_sha256,requested_range_normalized_sha256,date_bound_classification,timestamp_semantics_classification,threshold_result,retry_after_seconds,notes,page_count,next_page_token_present,pagination_complete,repeated_page_token,pagination_cycle_detected
window-2023-08-AAPL-sip-rep1,AAPL,sip,1,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,4316,4316,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,0,23,23,1794,1794,1794,0,2522,100.0,0,0,0.0,0,0.0,0,0,,9c419965116dc8e515e978637a3eb726f0e0cb9ea58ed4910a2fd993af891361,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2023-08-AAPL-sip-rep2,AAPL,sip,2,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,4316,4316,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,0,23,23,1794,1794,1794,0,2522,100.0,0,0,0.0,0,0.0,0,0,,9c419965116dc8e515e978637a3eb726f0e0cb9ea58ed4910a2fd993af891361,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2023-08-AAPL-iex-rep1,AAPL,iex,1,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,1816,1816,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,0,23,23,1794,1794,1794,0,22,100.0,0,0,0.0,0,0.0,0,0,,56d09e4fd2d48619e76bd67bd9c6ff95b714bf2992a47b2ae04f6597a0831809,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2023-08-AAPL-iex-rep2,AAPL,iex,2,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,1816,1816,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,0,23,23,1794,1794,1794,0,22,100.0,0,0,0.0,0,0.0,0,0,,56d09e4fd2d48619e76bd67bd9c6ff95b714bf2992a47b2ae04f6597a0831809,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2023-08-JPM-sip-rep1,JPM,sip,1,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,2453,2453,2023-08-01T11:40:00.000000+0000,2023-08-31T23:55:00.000000+0000,2023-08-01T11:40:00.000000+0000,2023-08-31T23:55:00.000000+0000,0,23,23,1794,1794,1794,0,659,100.0,0,0,0.0,0,0.0,0,0,,33347599f1d778bb0b663ca8591e13acee9d2966643fc96443f6fcafcba4b393,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2023-08-JPM-sip-rep2,JPM,sip,2,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,2453,2453,2023-08-01T11:40:00.000000+0000,2023-08-31T23:55:00.000000+0000,2023-08-01T11:40:00.000000+0000,2023-08-31T23:55:00.000000+0000,0,23,23,1794,1794,1794,0,659,100.0,0,0,0.0,0,0.0,0,0,,33347599f1d778bb0b663ca8591e13acee9d2966643fc96443f6fcafcba4b393,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2023-08-JPM-iex-rep1,JPM,iex,1,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,1748,1748,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,0,23,23,1794,1746,1746,0,2,97.32441471571906,48,0,0.0,0,0.0,0,0,,45979221ffef7a37f949cc6fb1204cc1e1bf538f8601d11b871815700c9b5d16,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2023-08-JPM-iex-rep2,JPM,iex,2,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,1748,1748,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,2023-08-01T13:30:00.000000+0000,2023-08-31T19:55:00.000000+0000,0,23,23,1794,1746,1746,0,2,97.32441471571906,48,0,0.0,0,0.0,0,0,,45979221ffef7a37f949cc6fb1204cc1e1bf538f8601d11b871815700c9b5d16,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2024-06-SPY-sip-rep1,SPY,sip,1,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,3526,3526,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,0,19,19,1482,1482,1482,0,2044,100.0,0,0,0.0,0,0.0,0,0,,26790ac27d07469dedda704ca10d19201674962e3d7c2a9c005b00d4515fc4b1,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2024-06-SPY-sip-rep2,SPY,sip,2,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,3526,3526,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,0,19,19,1482,1482,1482,0,2044,100.0,0,0,0.0,0,0.0,0,0,,26790ac27d07469dedda704ca10d19201674962e3d7c2a9c005b00d4515fc4b1,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2024-06-SPY-iex-rep1,SPY,iex,1,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,1500,1500,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,0,19,19,1482,1481,1481,0,19,99.93252361673414,1,0,0.0,0,0.0,0,0,,e086676ee0be43cb7db4508bf68e87ce1e46fc971c96c70838e35d67f886f8cc,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2024-06-SPY-iex-rep2,SPY,iex,2,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,1500,1500,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,0,19,19,1482,1481,1481,0,19,99.93252361673414,1,0,0.0,0,0.0,0,0,,e086676ee0be43cb7db4508bf68e87ce1e46fc971c96c70838e35d67f886f8cc,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2024-06-AAPL-sip-rep1,AAPL,sip,1,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,3568,3568,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,0,19,19,1482,1482,1482,0,2086,100.0,0,0,0.0,0,0.0,0,0,,b7181cbf327971d7a78d31a380641535e202ddac2b2e9cfac54fa0678884877d,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2024-06-AAPL-sip-rep2,AAPL,sip,2,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,3568,3568,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,2024-06-03T08:00:00.000000+0000,2024-06-28T23:55:00.000000+0000,0,19,19,1482,1482,1482,0,2086,100.0,0,0,0.0,0,0.0,0,0,,b7181cbf327971d7a78d31a380641535e202ddac2b2e9cfac54fa0678884877d,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2024-06-AAPL-iex-rep1,AAPL,iex,1,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,1487,1487,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,0,19,19,1482,1482,1482,0,5,100.0,0,0,0.0,0,0.0,0,0,,0896a01d62783bd3b33c90d7a316600bbbc718ab1a93633e1553a21194cffaae,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2024-06-AAPL-iex-rep2,AAPL,iex,2,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,1487,1487,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,0,19,19,1482,1482,1482,0,5,100.0,0,0,0.0,0,0.0,0,0,,0896a01d62783bd3b33c90d7a316600bbbc718ab1a93633e1553a21194cffaae,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2024-06-JPM-sip-rep1,JPM,sip,1,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,2008,2008,2024-06-03T08:00:00.000000+0000,2024-06-28T23:50:00.000000+0000,2024-06-03T08:00:00.000000+0000,2024-06-28T23:50:00.000000+0000,0,19,19,1482,1482,1482,0,526,100.0,0,0,0.0,0,0.0,0,0,,8445c484e6c04d455841cb16a4919d1095e3a00ef66b16c60c580e214505dd1f,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2024-06-JPM-sip-rep2,JPM,sip,2,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,2008,2008,2024-06-03T08:00:00.000000+0000,2024-06-28T23:50:00.000000+0000,2024-06-03T08:00:00.000000+0000,2024-06-28T23:50:00.000000+0000,0,19,19,1482,1482,1482,0,526,100.0,0,0,0.0,0,0.0,0,0,,8445c484e6c04d455841cb16a4919d1095e3a00ef66b16c60c580e214505dd1f,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2024-06-JPM-iex-rep1,JPM,iex,1,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,1419,1419,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,0,19,19,1482,1419,1419,0,0,95.74898785425101,63,0,0.0,0,0.0,0,0,,0b9f973d968d9d2a96c0c972ab07239077621be9808fc1885e368da3b799ca31,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2024-06-JPM-iex-rep2,JPM,iex,2,2024-06-03T00:00:00.000000-0400,2024-06-28T23:59:59.999999-0400,2024-06-03T04:00:00.000000+0000,2024-06-29T03:59:59.999999+0000,200,none,1419,1419,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,2024-06-03T13:30:00.000000+0000,2024-06-28T19:55:00.000000+0000,0,19,19,1482,1419,1419,0,0,95.74898785425101,63,0,0.0,0,0.0,0,0,,0b9f973d968d9d2a96c0c972ab07239077621be9808fc1885e368da3b799ca31,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2025-12-SPY-sip-rep1,SPY,sip,1,2025-12-01T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2025-12-01T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,4182,4182,2025-12-01T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,2025-12-01T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,0,21,21,1638,1638,1638,42,2502,100.0,0,0,0.0,0,0.0,0,0,,bad02a6c83262190b953806453dfeea6b910389566cdca1e5c2b8bae626408cd,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2025-12-SPY-sip-rep2,SPY,sip,2,2025-12-01T00:00:00.000000-0500,2025-12-31T23:59:59.999999-0500,2025-12-01T05:00:00.000000+0000,2026-01-01T04:59:59.999999+0000,200,none,4182,4182,2025-12-01T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,2025-12-01T09:00:00.000000+0000,2026-01-01T00:55:00.000000+0000,0,21,21,1638,1638,1638,42,2502,100.0,0,0,0.0,0,0.0,0,0,,bad02a6c83262190b953806453dfeea6b910389566cdca1e5c2b8bae626408cd,honored_exactly,inconsistent,passed,,,2,True,True,False,False
